observableId	simulationConditionId	datasetId	replicateId	time	measurement	observableParameters	noiseParameters
PKA_active	TH17	time_course_PKA	rep2	5	0.178157	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	5	0.228157	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	10	0.429115	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep2	10	0.249115	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	10	0.209115	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	15	0.228181	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep2	15	0.328181	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	15	0.198181	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	30	0.176403	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep2	30	0.106403	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	30	0.516403	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep1	45	0.264663	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep2	45	0.614663	scale_PKA_active	sigma_PKA
PKA_active	TH17	time_course_PKA	rep3	45	0.554663	scale_PKA_active	sigma_PKA
S3S4_complex_obs	dose_0_01	dose_response_S3S4	rep1	60	0.8444317	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_01	dose_response_S3S4	rep2	60	0.9594656	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_01	dose_response_S3S4	rep3	60	1	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_0_01	dose_response_S3STAT3d	rep1	60	0.3176963	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_01	dose_response_S3STAT3d	rep2	60	0.1661749	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_01	dose_response_S3STAT3d	rep3	60	0.175997	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_0_1	dose_response_S3S4	rep1	60	1	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_1	dose_response_S3S4	rep2	60	1	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_1	dose_response_S3S4	rep3	60	0.9053709	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_0_1	dose_response_S3STAT3d	rep1	60	0.273237	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_1	dose_response_S3STAT3d	rep2	60	0.1650852	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_1	dose_response_S3STAT3d	rep3	60	0.2608876	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_0_2	dose_response_S3S4	rep1	60	0.9231458	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_2	dose_response_S3S4	rep2	60	0.6968515	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_2	dose_response_S3S4	rep3	60	0.857441	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_0_2	dose_response_S3STAT3d	rep1	60	0.226243	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_2	dose_response_S3STAT3d	rep2	60	0.3316558	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_2	dose_response_S3STAT3d	rep3	60	0.2976603	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_0_5	dose_response_S3S4	rep1	60	0.7130627	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_5	dose_response_S3S4	rep2	60	0.436767	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_0_5	dose_response_S3S4	rep3	60	0.6704242	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_0_5	dose_response_S3STAT3d	rep1	60	0.6774584	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_5	dose_response_S3STAT3d	rep2	60	0.4471341	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_0_5	dose_response_S3STAT3d	rep3	60	0.4021282	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_1	dose_response_S3S4	rep1	60	0.5434206	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_1	dose_response_S3S4	rep2	60	0.3104759	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_1	dose_response_S3S4	rep3	60	0.32943	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_1	dose_response_S3STAT3d	rep1	60	0.7268967	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_1	dose_response_S3STAT3d	rep2	60	0.714503	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_1	dose_response_S3STAT3d	rep3	60	0.7923607	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_5	dose_response_S3S4	rep1	60	0.3460081	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_5	dose_response_S3S4	rep2	60	0.2011079	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_5	dose_response_S3S4	rep3	60	0.2178648	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_5	dose_response_S3STAT3d	rep1	60	0.7409475	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_5	dose_response_S3STAT3d	rep2	60	0.9358572	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_5	dose_response_S3STAT3d	rep3	60	1	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_10	dose_response_S3S4	rep1	60	0.2904627	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_10	dose_response_S3S4	rep2	60	0.1320931	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_10	dose_response_S3S4	rep3	60	0.1647908	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_10	dose_response_S3STAT3d	rep1	60	0.9838534	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_10	dose_response_S3STAT3d	rep2	60	1	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_10	dose_response_S3STAT3d	rep3	60	0.8783869	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_25	dose_response_S3S4	rep1	60	0.1046011	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_25	dose_response_S3S4	rep2	60	0.213173	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_25	dose_response_S3S4	rep3	60	0.1298482	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_25	dose_response_S3STAT3d	rep1	60	0.8585361	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_25	dose_response_S3STAT3d	rep2	60	0.8728718	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_25	dose_response_S3STAT3d	rep3	60	0.8745837	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3S4_complex_obs	dose_50	dose_response_S3S4	rep1	60	0.1249143	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_50	dose_response_S3S4	rep2	60	0.111894	scale_S3S4_complex_obs	sigma_S3S4
S3S4_complex_obs	dose_50	dose_response_S3S4	rep3	60	0.2008729	scale_S3S4_complex_obs	sigma_S3S4
S3STAT3d_complex_obs	dose_50	dose_response_S3STAT3d	rep1	60	0.8848534	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_50	dose_response_S3STAT3d	rep2	60	0.8191262	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
S3STAT3d_complex_obs	dose_50	dose_response_S3STAT3d	rep3	60	0.7525376	scale_S3STAT3d_complex_obs	sigma_S3STAT3d
pSTAT3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep1	10.0	2.382058	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep2	10.0	3.477340	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep3	10.0	2.841797	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep1	10.0	3.023101	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep2	10.0	2.949962	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep3	10.0	2.691298	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep1	10.0	2.612650	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep2	10.0	2.343091	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep3	10.0	2.166588	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep1	10.0	2.042393	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep2	10.0	1.804114	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep3	10.0	1.778858	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep1	10.0	1.137317	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep2	10.0	1.980127	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSTAT3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep3	10.0	1.797879	scale_pSTAT3_norm	sigma_pSTAT3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep1	10.0	1.106955	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep2	10.0	1.256543	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_50	dr_10min	rep3	10.0	1.635996	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep1	10.0	0.840998	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep2	10.0	0.902162	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_25	dr_10min	rep3	10.0	1.370548	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep1	10.0	0.980571	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep2	10.0	1.353828	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_12_5	dr_10min	rep3	10.0	1.067092	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep1	10.0	1.138728	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep2	10.0	1.319648	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_6_25	dr_10min	rep3	10.0	1.099908	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep1	10.0	1.306025	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep2	10.0	1.283112	scale_pSMAD3_norm	sigma_pSMAD3_norm
pSMAD3_norm_total_obs	condition_10min_IL6_3_125	dr_10min	rep3	10.0	1.570919	scale_pSMAD3_norm	sigma_pSMAD3_norm
